Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;double;3177;60001;7538571504
graphComp;1;double;5707;60001;7274208792
graphComp;2;double;143;61458;6842703888
graphComp;3;double;15616;60001;7351749920
graphComp;4;double;0;60001;8276818024
graphComp;5;double;0;60001;6374430728
graphComp;6;double;90;61557;7897412872
graphComp;7;double;54;62525;7987663176
graphComp;8;double;93;60001;7743024216
graphComp;9;double;0;61229;8148500560
graphComp;10;double;1578;60001;7276033160
graphComp;11;double;91;60001;8255075208
graphComp;12;double;0;60001;3004498848
graphComp;13;double;38;60001;8319799880
graphComp;14;double;247;60012;7718299568
graphComp;15;double;0;62567;8485788432
graphComp;16;double;0;60001;7766452440
graphComp;17;double;156;60001;7356543352
graphComp;18;double;433;60021;6304755680
graphComp;19;double;0;60001;8217331112
graphComp;20;double;0;60001;8207824632
graphComp;21;double;5680;60001;5956194944
graphComp;22;double;29491;60001;4660699608
graphComp;23;double;0;60001;8538996576
graphComp;24;double;151;60001;8182582000
graphComp;25;double;1887;60841;2405693432
graphComp;26;double;0;60001;8158313424
graphComp;27;double;47;60001;7608075224
graphComp;28;double;25;60001;8463135824
graphComp;29;double;88;60001;7770824104
graphComp;30;double;213;60001;8181038016
graphComp;31;double;0;60365;6116185304
graphComp;32;double;30;60001;3946804248
graphComp;33;double;8862;60001;8410230472
graphComp;34;double;71;60001;7768113376
graphComp;35;double;159;60001;7267362792
graphComp;36;double;830;60001;6370302104
graphComp;37;double;78;60001;7267283448
graphComp;38;double;740;61405;5840751776
graphComp;39;double;28041;60001;7339657840
graphComp;40;double;3;60001;8132385704
graphComp;41;double;58;60001;8016119784
graphComp;42;double;60;60001;7727082264
graphComp;43;double;5623;60001;8576882456
graphComp;44;double;405;60001;7852423792
graphComp;45;double;232;60024;7248888640
graphComp;46;double;1417;60001;5164620328
graphComp;47;double;69;60001;8109530464
graphComp;48;double;30;60005;7079572976
graphComp;49;double;167;60001;7729335328
graphComp;50;double;380;60001;8419937088
graphComp;51;double;1184;60001;6845507000
graphComp;52;double;0;60001;6539406192
graphComp;53;double;0;60001;8007930048
graphComp;54;double;3702;60001;9731920608
graphComp;55;double;101;60001;8244770344
graphComp;56;double;0;60001;8423357880
graphComp;57;double;255863;60001;801133816
graphComp;58;double;0;60001;5636672480
graphComp;59;double;0;60001;7271674432
graphComp;60;double;1720;61241;7099625144
graphComp;61;double;7;60001;8318381896
graphComp;62;double;4;60001;8385106384
graphComp;63;double;96;60001;8134444392
graphComp;64;double;0;60001;4073341064
graphComp;65;double;35524;60001;77879960
graphComp;66;double;1421;60001;7868116776
graphComp;67;double;0;60001;8375441840
graphComp;68;double;57;60001;8140655016
graphComp;69;double;19425;60001;7571099752
graphComp;70;double;77;60001;8193632672
graphComp;71;double;66;60001;7368484192
graphComp;72;double;4436;60001;386427944
graphComp;73;double;394;60013;6354779904
graphComp;74;double;0;60001;8195476568
graphComp;75;double;0;60001;4872587720
graphComp;76;double;5;60001;7294839760
graphComp;77;double;0;60001;2457526144
graphComp;78;double;0;60001;7324539680
graphComp;79;double;0;60001;7751216864
graphComp;80;double;0;60001;4527957368
graphComp;81;double;0;60001;7573721352
graphComp;82;double;541;60016;5965643152
graphComp;83;double;2;62195;8656805568
graphComp;84;double;30489;60001;6752493624
graphComp;85;double;41;60001;8130015120
graphComp;86;double;0;60001;7805243168
graphComp;87;double;30;60001;7926577272
graphComp;88;double;99;60211;7079166216
graphComp;89;double;0;60001;8120336552
graphComp;90;double;69;60001;8013661872
graphComp;91;double;132;60001;7460920400
graphComp;92;double;26;60001;7749911616
graphComp;93;double;1982;60008;524716736
graphComp;94;double;0;60001;7388374632
graphComp;95;double;78;60008;7990645656
graphComp;96;double;0;62304;8654565832
graphComp;97;double;0;60001;8018189152
graphComp;98;double;80;60001;8644671448
graphComp;99;double;0;60001;7613980536
