Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;cuadra;2;60001;7372372688
graphComp;-1;1;cuadra;9046;60006;7280580408
graphComp;-1;2;cuadra;192;60001;9570876072
graphComp;-1;3;cuadra;907;60011;5730625888
graphComp;-1;4;cuadra;99;60001;7767591944
graphComp;-1;5;cuadra;23;60214;7906542336
graphComp;-1;6;cuadra;103;62760;7970918592
graphComp;-1;7;cuadra;79;62361;8078323872
graphComp;-1;8;cuadra;10065;60001;8452567280
graphComp;-1;9;cuadra;50;60001;7018915360
graphComp;-1;10;cuadra;18390;60001;7416120528
graphComp;-1;11;cuadra;10415;60001;8502844888
graphComp;-1;12;cuadra;2310;60001;8247210328
graphComp;-1;13;cuadra;3929;60001;7947552624
graphComp;-1;14;cuadra;244;60002;7521044888
graphComp;-1;15;cuadra;1222;60001;7267034288
graphComp;-1;16;cuadra;98;60001;8339015360
graphComp;-1;17;cuadra;147;60001;8166508624
graphComp;-1;18;cuadra;40885;60001;7343581120
graphComp;-1;19;cuadra;203;60001;7332582048
graphComp;-1;20;cuadra;95;60001;7291731112
graphComp;-1;21;cuadra;1935;60013;1200855792
graphComp;-1;22;cuadra;86;60001;7360487240
graphComp;-1;23;cuadra;59;60001;7229611952
graphComp;-1;24;cuadra;277;60001;7929355192
graphComp;-1;25;cuadra;1224;60001;7933125288
graphComp;-1;26;cuadra;348460;60006;5947999672
graphComp;-1;27;cuadra;1365;60336;7022300080
graphComp;-1;28;cuadra;15866;60004;283286072
graphComp;-1;29;cuadra;3490;60001;6945927848
graphComp;-1;30;cuadra;4;60001;5462161928
graphComp;-1;31;cuadra;168;60001;8069973616
graphComp;-1;32;cuadra;2023;60001;6160401504
graphComp;-1;33;cuadra;1595;60011;2694281184
graphComp;-1;34;cuadra;6853;60008;4924709392
graphComp;-1;35;cuadra;172;60001;8157842312
graphComp;-1;36;cuadra;1593;60019;1461446552
graphComp;-1;37;cuadra;144;60001;7983350304
graphComp;-1;38;cuadra;8823;60012;5294750368
graphComp;-1;39;cuadra;183;60001;2733028072
graphComp;-1;40;cuadra;1098020;60001;3315376368
graphComp;-1;41;cuadra;14;60001;6628020424
graphComp;-1;42;cuadra;975;60001;8332869352
graphComp;-1;43;cuadra;108;60001;7990262512
graphComp;-1;44;cuadra;152;60001;7914464360
graphComp;-1;45;cuadra;146042;60001;1389347256
graphComp;-1;46;cuadra;1526;60011;2480983400
graphComp;-1;47;cuadra;9680;60001;7969816352
graphComp;-1;48;cuadra;504;60001;7989983176
graphComp;-1;49;cuadra;31;60001;7922357104
graphComp;-1;50;cuadra;64921;60001;8306885848
graphComp;-1;51;cuadra;115;60001;7586638024
graphComp;-1;52;cuadra;37;60001;7884156256
graphComp;-1;53;cuadra;140;60722;7022271472
graphComp;-1;54;cuadra;212;60001;6292908624
graphComp;-1;55;cuadra;1700;60091;2848713136
graphComp;-1;56;cuadra;2238;60001;296233008
graphComp;-1;57;cuadra;112;60001;7361438040
graphComp;-1;58;cuadra;32;60001;7249620048
graphComp;-1;59;cuadra;20;60001;7474428352
graphComp;-1;60;cuadra;312;60032;7483806216
graphComp;-1;61;cuadra;70;60001;5802123848
graphComp;-1;62;cuadra;75;60001;7395735544
graphComp;-1;63;cuadra;3692;60001;9298192472
graphComp;-1;64;cuadra;120;60001;7547922488
graphComp;-1;65;cuadra;413;60001;6827993976
graphComp;-1;66;cuadra;112;60001;6600575864
graphComp;-1;67;cuadra;32975;60001;6858346088
graphComp;-1;68;cuadra;110;60001;7958114280
graphComp;-1;69;cuadra;159;60001;7552054824
graphComp;-1;70;cuadra;263;60001;7267723560
graphComp;-1;71;cuadra;1344;60001;7463356336
graphComp;-1;72;cuadra;194378;60001;2297581440
graphComp;-1;73;cuadra;458;60022;6362742072
graphComp;-1;74;cuadra;1599;60001;6755103536
graphComp;-1;75;cuadra;37085;60001;35214248
graphComp;-1;76;cuadra;19;60001;7372856752
graphComp;-1;77;cuadra;0;60001;5764717712
graphComp;-1;78;cuadra;146;60025;8044244264
graphComp;-1;79;cuadra;71;60001;7817454224
graphComp;-1;80;cuadra;71;60001;8475243424
graphComp;-1;81;cuadra;2;60001;7514760104
graphComp;-1;82;cuadra;464;62484;5842325864
graphComp;-1;83;cuadra;17348;60776;8414569192
graphComp;-1;84;cuadra;58020;60001;7498596392
graphComp;-1;85;cuadra;165;60001;7266160056
graphComp;-1;86;cuadra;145;60001;7501510456
graphComp;-1;87;cuadra;4;60001;8451374488
graphComp;-1;88;cuadra;2875;60001;6622411296
graphComp;-1;89;cuadra;109;60001;8108862872
graphComp;-1;90;cuadra;78;60001;8522966464
graphComp;-1;91;cuadra;128;60001;5700583840
graphComp;-1;92;cuadra;301;60001;7144778816
graphComp;-1;93;cuadra;2519;60015;862622768
graphComp;-1;94;cuadra;145;60001;8086479896
graphComp;-1;95;cuadra;17;62256;5393795768
graphComp;-1;96;cuadra;136;60001;7683395520
graphComp;-1;97;cuadra;388;60001;7270369896
graphComp;-1;98;cuadra;171;60463;7022727960
graphComp;-1;99;cuadra;78;60001;8014645248
graphComp;-1;0;double;3164;60001;7538568872
graphComp;-1;1;double;7159;60005;7277134656
graphComp;-1;2;double;143;61321;6842682984
graphComp;-1;3;double;15616;60001;7351749920
graphComp;-1;4;double;0;60001;8587583320
graphComp;-1;5;double;0;60001;6395689928
graphComp;-1;6;double;90;60777;7824041584
graphComp;-1;7;double;54;61210;7946943024
graphComp;-1;8;double;46;60008;7428890896
graphComp;-1;9;double;0;60854;8156644008
graphComp;-1;10;double;1578;60001;7276033160
graphComp;-1;11;double;89;60001;7992180784
graphComp;-1;12;double;0;60001;3004498848
graphComp;-1;13;double;480;60001;8597521240
graphComp;-1;14;double;225;60033;7521358312
graphComp;-1;15;double;0;60001;8322529264
graphComp;-1;16;double;0;60001;8371948456
graphComp;-1;17;double;156;60001;7356543352
graphComp;-1;18;double;451;60018;6349426296
graphComp;-1;19;double;0;60001;7887195256
graphComp;-1;20;double;0;60001;7576252488
graphComp;-1;21;double;7359;60051;6001884456
graphComp;-1;22;double;29491;60090;4659029480
graphComp;-1;23;double;0;60001;8272724720
graphComp;-1;24;double;151;60001;7722308296
graphComp;-1;25;double;1887;60001;2405693192
graphComp;-1;26;double;0;60001;8402189136
graphComp;-1;27;double;47;60001;7347963608
graphComp;-1;28;double;25;60001;8100994520
